project_id,area_sqft,floors,bedrooms,bathrooms,location,location_tier,location_encoded,quality_tier,quality_encoded,construction_type,total_cost,cost_per_sqft,cement_cost,steel_cost,labor_cost,data_source
PROJ_house-price-dataset-of-india_House Price India_cleaned_0000,3650,2.0,5,2.5,3650,Tier2,1,10,2,Residential,2380000,652.054794520548,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0001,2920,1.5,4,2.5,2920,Tier2,1,8,2,Residential,1400000,479.45205479452056,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0002,2910,1.5,5,2.75,2910,Tier2,1,8,2,Residential,1200000,412.37113402061857,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0003,3310,2.0,4,2.5,3310,Tier2,1,9,2,Residential,838000,253.17220543806647,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0004,2710,1.5,3,2.0,2710,Tier2,1,8,2,Residential,805000,297.0479704797048,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0005,2600,1.0,3,2.5,2600,Tier2,1,9,2,Residential,790000,303.84615384615387,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0006,3660,2.0,5,3.25,3660,Tier2,1,10,2,Residential,785000,214.4808743169399,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0007,2240,2.0,3,1.75,2240,Tier2,1,8,2,Residential,750000,334.82142857142856,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0008,2390,1.0,3,2.5,2390,Tier2,1,8,2,Residential,750000,313.8075313807531,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0009,2200,1.5,4,2.25,2200,Tier2,1,7,2,Residential,698000,317.27272727272725,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0010,2820,2.0,5,2.5,2820,Tier2,1,8,2,Residential,675000,239.36170212765958,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0011,1820,1.5,4,2.0,1820,Tier2,1,7,2,Residential,650000,357.14285714285717,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0012,1520,1.5,4,2.0,1520,Tier2,1,7,2,Residential,640000,421.05263157894734,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0013,2710,2.0,4,2.75,2710,Tier2,1,9,2,Residential,630000,232.47232472324723,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0014,1750,2.5,3,2.25,1750,Tier2,1,9,2,Residential,626000,357.7142857142857,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0015,2820,2.0,4,2.5,2820,Tier2,1,9,2,Residential,625000,221.63120567375887,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0016,2730,1.0,4,3.25,2730,Tier2,1,9,2,Residential,625000,228.93772893772893,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0017,2360,1.0,3,1.75,2360,Tier2,1,8,2,Residential,615000,260.59322033898303,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0018,2730,2.0,4,2.5,2730,Tier2,1,9,2,Residential,612500,224.35897435897436,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0020,2330,1.0,3,1.75,2330,Tier2,1,8,2,Residential,588500,252.57510729613733,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0022,1940,1.0,4,2.5,1940,Tier2,1,7,2,Residential,550000,283.50515463917526,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0025,1600,1.0,4,1.75,1600,Tier2,1,8,2,Residential,495000,309.375,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0026,2190,1.0,4,1.75,2190,Tier2,1,9,2,Residential,491500,224.42922374429224,0.0,0.0,0.0,Unknown
