project_id,area_sqft,floors,bedrooms,bathrooms,location,location_tier,location_encoded,quality_tier,quality_encoded,construction_type,total_cost,cost_per_sqft,cement_cost,steel_cost,labor_cost,data_source
PROJ_house-price-dataset-of-india_House Price India_cleaned_6037,1370,1.0,3,1.0,1370,Tier2,1,7,2,Residential,447000,326.2773722627737,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_8436,1800,2.0,3,2.5,1800,Tier2,1,8,2,Residential,379900,211.05555555555554,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_4346,2410,2.0,4,2.25,2410,Tier2,1,8,2,Residential,720000,298.7551867219917,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_1037,1820,1.0,4,2.0,1820,Tier2,1,8,2,Residential,519900,285.65934065934067,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_12506,940,1.0,3,1.0,940,Tier2,1,6,2,Residential,223000,237.2340425531915,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_6802,1880,1.0,5,1.75,1880,Tier2,1,7,2,Residential,618000,328.72340425531917,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_8160,800,1.0,2,1.0,800,Tier2,1,6,2,Residential,330000,412.5,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_12457,2910,2.0,5,2.75,2910,Tier2,1,8,2,Residential,605000,207.9037800687285,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_11557,2330,1.0,5,1.75,2330,Tier2,1,8,2,Residential,572500,245.70815450643778,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_7096,1780,1.0,2,1.5,1780,Tier2,1,7,2,Residential,555000,311.7977528089888,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_4245,3595,2.0,5,2.75,3595,Tier2,1,9,2,Residential,861990,239.77468706536857,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_11766,1650,3.0,3,1.75,1650,Tier2,1,8,2,Residential,599000,363.030303030303,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_1585,1480,1.0,4,2.0,1480,Tier2,1,6,2,Residential,335000,226.35135135135135,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_4986,2500,1.5,4,3.0,2500,Tier2,1,7,2,Residential,670000,268.0,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0765,3240,2.0,4,2.5,3240,Tier2,1,10,2,Residential,749400,231.2962962962963,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_2117,1710,1.0,3,2.25,1710,Tier2,1,7,2,Residential,385000,225.14619883040936,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_3033,2496,2.0,4,2.5,2496,Tier2,1,9,2,Residential,661000,264.82371794871796,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_12365,1860,1.5,3,2.25,1860,Tier2,1,7,2,Residential,572000,307.5268817204301,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_11652,2590,1.0,4,2.5,2590,Tier2,1,8,2,Residential,537250,207.43243243243242,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_5610,2740,2.0,4,2.5,2740,Tier2,1,9,2,Residential,672800,245.54744525547446,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_1040,1210,3.0,3,2.5,1210,Tier2,1,8,2,Residential,500000,413.22314049586777,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_8646,1550,1.0,3,1.75,1550,Tier2,1,7,2,Residential,440000,283.8709677419355,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_9844,1470,1.0,3,2.0,1470,Tier2,1,6,2,Residential,344950,234.65986394557822,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_12278,1910,2.0,3,2.5,1910,Tier2,1,9,2,Residential,663000,347.12041884816756,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_11975,3740,2.0,4,3.5,3740,Tier2,1,11,2,Residential,1080000,288.7700534759358,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_3382,1460,1.0,2,2.0,1460,Tier2,1,6,2,Residential,1010000,691.7808219178082,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_2618,1980,1.0,3,1.75,1980,Tier2,1,9,2,Residential,810000,409.09090909090907,0.0,0.0,0.0,Unknown
